id,cardName,description,materials,productionDuration,talentReward,,,num mat 1,num mat 2
1,Posto de sustentabilidade da floresta,"Empreendedores querem desenvolver um programa de extração sustentável com manejo da floresta, plantas medicinais, frutos, artesanatos finos, com inclusão social da população local.","[{resourceName: 4, resourceNumber: 2}, { resourceName: 4, resourceNumber: 2}]",,,,,4,4
2,Fibrato,,"[{resourceName: 4, resourceNumber: 2}, { resourceName: 4, resourceNumber: 2}]",,,,,4,4
3,Fibrato,,"[{resourceName: 4, resourceNumber: 2}, { resourceName: 3, resourceNumber: 2}]",,,,,4,3
4,Clube de lazer para pessoas maduras,"Com o aumento da longevidade, um grupo de empreendedores está ampliando a Rede de Clubes de Lazer para pessoas que têm tempo, dinheiro, saúde e querem aproveitar o melhor da vida social. ","[{resourceName: 3, resourceNumber: 2}, { resourceName: 4, resourceNumber: 2}]",,,,,3,4
5,Fibrato,,"[{resourceName: 3, resourceNumber: 2}, { resourceName: 4, resourceNumber: 2}]",,,,,3,4
6,Fibrato,,"[{resourceName: 4, resourceNumber: 2}, { resourceName: 3, resourceNumber: 2}]",,,,,4,3
7,Parque de diversões:,"Empreendedores de Entretenimento vão construir um Parque Temático com infra-estrutura para atrair turistas de todo o mundo, oferecendo lazer, diversão, educação, cultura e gastronomia.","[{resourceName: 3, resourceNumber: 2}, { resourceName: 0, resourceNumber: 2}]",,,,,3,0
8,Fibrato,,"[{resourceName: 4, resourceNumber: 2}, { resourceName: 3, resourceNumber: 2}]",,,,,4,3
9,Fibrato,,"[{resourceName: 0, resourceNumber: 2}, { resourceName: 4, resourceNumber: 2}]",,,,,0,4
10,Campus universitário avançado,"Um campus universitário avançado com especialistas conectados globalmente foi projetado para tratar de soluções científicas, técnicas, políticas e financeiras do aquecimento global.","[{resourceName: 3, resourceNumber: 2}, { resourceName: 0, resourceNumber: 2}]",,,,,3,0
11,Fibrato,,"[{resourceName: 3, resourceNumber: 2}, { resourceName: 4, resourceNumber: 2}]",,,,,3,4
12,Fibrato,,"[{resourceName: 4, resourceNumber: 2}, { resourceName: 0, resourceNumber: 2}]",,,,,4,0
13,Zoológico,"Um grupo de veterinários mobilizou o poder público para montar um zoológico turísitico e educativo, com a diversidade da fauna de cada região do planeta, mostrando o habitat de cada animal.","[{resourceName: 4, resourceNumber: 2}, { resourceName: 3, resourceNumber: 2}]",,,,,4,3
